,type,header
0,BNS Swap,Name
1,BNS Swap,ID
2,BNS Swap,Currency
3,BNS Swap,Swap Notional
4,BNS Swap,Swap Rec Notional
5,BNS Swap,*Theoretical Model
6,BNS Swap,Issue Date
7,BNS Swap,Maturity Date
8,BNS Swap,Pay Fixed Flag
9,BNS Swap,Pay Frequency
10,BNS Swap,Pay Rate
11,BNS Swap,Pay Cash Flow
12,BNS Swap,Rec Fixed Flag
13,BNS Swap,Rec Frequency
14,BNS Swap,Rec Rate
15,BNS Swap,Rec Cash Flow
16,BNS Swap,Pay Lag
17,BNS Swap,Pay Reset Lag
18,BNS Swap,Rec Lag
19,BNS Swap,Rec Reset Lag
20,BNS Swap,Pay Fixed Rates
21,BNS Swap,Pay Resets
22,BNS Swap,Rec Fixed Rates
23,BNS Swap,Rec Resets
24,BNS Swap,Pay Upfront Fee
25,BNS Swap,Rec Upfront Fee
26,BNS Swap,Pay Compounding Method
27,BNS Swap,Rec Compounding Method
28,BNS Swap,Pay DateAdj Type
29,BNS Swap,Rec DateAdj Type
30,BNS Swap,Pay Date Adjust
31,BNS Swap,Rec Date Adjust
32,BNS Swap,Business Date Rule
33,BNS Swap,Group ID
34,BNS Swap,Pay Fees
35,BNS Swap,Rec Fees
36,BNS Swap,Swap Principal Exchange
37,BNS Swap,Pay Mode
38,BNS Swap,Rec Mode
39,BNS Swap,Pay Reset Arrears
40,BNS Swap,Rec Reset Arrears
41,BNS Swap,Pay Bullet
42,BNS Swap,Rec Bullet
43,BNS Swap,Counter Party
44,BNS Swap,Credit Rating
45,BNS Swap,Pay Principal Payment
46,BNS Swap,Rec Principal Payment
47,BNS Swap,Rec IDO
48,BNS Swap,Rec MDO
49,BNS Swap,Pay Payment Holiday
50,BNS Swap,Pay Reset Holiday
51,BNS Swap,Rec Payment Holiday
52,BNS Swap,Rec Reset Holiday
53,BNS Swap,Pay Applied Period Dates
54,BNS Swap,Pay Payment Dates
55,BNS Swap,Rec Applied Period Dates
56,BNS Swap,Rec Payment Dates
57,BNS Swap,Pay Spread
58,BNS Swap,Rec Spread
59,BNS Swap,Pay Day Type
60,BNS Swap,Rec Day Type
61,BNS Swap,Pay 1st Payment Date
62,BNS Swap,Pay 1st Roll Date
